Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2018,Share of individuals who use digital equipment at work that telework from home,PRT,Portugal,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",10
2018,Share of individuals who use digital equipment at work that telework from home,PRT,Portugal,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,POL,Poland,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,POL,Poland,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,POL,Poland,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,NOR,Norway,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",22
2018,Share of individuals who use digital equipment at work that telework from home,NOR,Norway,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",20
2018,Share of individuals who use digital equipment at work that telework from home,NOR,Norway,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,NLD,Netherlands,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",20
2018,Share of individuals who use digital equipment at work that telework from home,NLD,Netherlands,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",22
2018,Share of individuals who use digital equipment at work that telework from home,NLD,Netherlands,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,LUX,Luxembourg,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",19
2018,Share of individuals who use digital equipment at work that telework from home,LUX,Luxembourg,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,LUX,Luxembourg,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",16
2018,Share of individuals who use digital equipment at work that telework from home,LTU,Lithuania,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,LTU,Lithuania,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,LTU,Lithuania,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",7
2018,Share of individuals who use digital equipment at work that telework from home,LVA,Latvia,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,LVA,Latvia,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,LVA,Latvia,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,ITA,Italy,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,ITA,Italy,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,ITA,Italy,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",9
2018,Share of individuals who use digital equipment at work that telework from home,IRL,Ireland,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",9
2018,Share of individuals who use digital equipment at work that telework from home,IRL,Ireland,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",9
2018,Share of individuals who use digital equipment at work that telework from home,IRL,Ireland,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,ISL,Iceland,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,ISL,Iceland,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",22
2018,Share of individuals who use digital equipment at work that telework from home,ISL,Iceland,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",16
2018,Share of individuals who use digital equipment at work that telework from home,HUN,Hungary,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,HUN,Hungary,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",10
2018,Share of individuals who use digital equipment at work that telework from home,HUN,Hungary,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,GBR,United Kingdom,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",22
2018,Share of individuals who use digital equipment at work that telework from home,GBR,United Kingdom,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",18
2018,Share of individuals who use digital equipment at work that telework from home,GBR,United Kingdom,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,EU,European Union,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,EU,European Union,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,EU,European Union,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
